Nostradamus local server -> http://127.0.0.1:8000
  static root : C:\Users\nicho\Nostradamus_remote_audit
  decisions   : C:\Users\nicho\Nostradamus_remote_audit\data\investor_v3\decisions.json
INFO:     127.0.0.1:62287 - "GET /api/command-center HTTP/1.1" 200 OK
INFO:     127.0.0.1:62287 - "GET /api/prediction-markets HTTP/1.1" 200 OK
INFO:     127.0.0.1:56999 - "GET /api/megamind HTTP/1.1" 200 OK
INFO:     127.0.0.1:54063 - "POST /api/megamind/recommendations/b27ac57ee587/reject HTTP/1.1" 200 OK
INFO:     127.0.0.1:54063 - "GET /api/megamind HTTP/1.1" 200 OK
INFO:     127.0.0.1:54063 - "POST /api/megamind/recommendations/b27ac57ee587/reject HTTP/1.1" 200 OK
INFO:     127.0.0.1:54063 - "GET /api/megamind HTTP/1.1" 200 OK
INFO:     127.0.0.1:50287 - "GET /api/command-center HTTP/1.1" 200 OK
INFO:     127.0.0.1:50287 - "GET / HTTP/1.1" 200 OK
INFO:     127.0.0.1:50287 - "GET /css/rh-theme.css HTTP/1.1" 200 OK
INFO:     127.0.0.1:51286 - "GET /css/oracle-theme.css HTTP/1.1" 200 OK
INFO:     127.0.0.1:61835 - "GET /css/investor.css HTTP/1.1" 200 OK
INFO:     127.0.0.1:58992 - "GET /css/arena.css HTTP/1.1" 200 OK
INFO:     127.0.0.1:62258 - "GET /css/architecture.css HTTP/1.1" 200 OK
INFO:     127.0.0.1:53557 - "GET /js/rh-app.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:58992 - "GET /js/rh-help.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:62258 - "GET /js/rh-pages/home.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:53557 - "GET /js/rh-pages/markets.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:61835 - "GET /js/rh-pages/investor-page.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:51286 - "GET /js/rh-pages/trade.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:58992 - "GET /js/rh-pages/stock.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:50287 - "GET /js/rh-pages/chat.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:62258 - "GET /js/rh-pages/architecture.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:53557 - "GET /js/rh-pages/predictions.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:61835 - "GET /js/rh-pages/penny.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:51286 - "GET /js/rh-pages/arena.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:50287 - "GET /js/rh-pages/megamind.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:58992 - "GET /js/rh-api.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:62258 - "GET /js/ui/investor.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:62258 - "GET /js/utils/helpers.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:62258 - "GET /api/command-center HTTP/1.1" 200 OK
INFO:     127.0.0.1:63515 - "GET /api/predictions/live?limit=40 HTTP/1.1" 200 OK
INFO:     127.0.0.1:55517 - "GET /api/health HTTP/1.1" 200 OK
INFO:     127.0.0.1:55517 - "GET /api/decisions HTTP/1.1" 200 OK
INFO:     127.0.0.1:53619 - "GET /api/arena/experiment HTTP/1.1" 200 OK
INFO:     127.0.0.1:52765 - "GET /api/arena/compare HTTP/1.1" 200 OK
INFO:     127.0.0.1:52765 - "GET /api/megamind HTTP/1.1" 200 OK
INFO:     127.0.0.1:52765 - "GET /api/arena/v1/traders HTTP/1.1" 200 OK
INFO:     127.0.0.1:52765 - "GET /api/arena/v1/traders HTTP/1.1" 200 OK
INFO:     127.0.0.1:53619 - "GET /api/arena/v1/trader/7 HTTP/1.1" 200 OK
INFO:     127.0.0.1:52618 - "GET /api/health HTTP/1.1" 200 OK
INFO:     127.0.0.1:52618 - "GET /api/decisions HTTP/1.1" 200 OK
INFO:     127.0.0.1:56122 - "GET /api/arena/experiment HTTP/1.1" 200 OK
INFO:     127.0.0.1:51757 - "GET /api/arena/compare HTTP/1.1" 200 OK
INFO:     127.0.0.1:51757 - "GET /api/megamind HTTP/1.1" 200 OK
INFO:     127.0.0.1:51757 - "GET /api/arena/v1/traders HTTP/1.1" 200 OK
INFO:     127.0.0.1:56122 - "GET /api/arena/v1/traders HTTP/1.1" 200 OK
INFO:     127.0.0.1:51757 - "GET /api/arena/v1/trader/7 HTTP/1.1" 200 OK
INFO:     127.0.0.1:65416 - "GET / HTTP/1.1" 200 OK
INFO:     127.0.0.1:65416 - "GET /css/oracle-theme.css HTTP/1.1" 200 OK
INFO:     127.0.0.1:58541 - "GET /css/rh-theme.css HTTP/1.1" 304 Not Modified
INFO:     127.0.0.1:62510 - "GET /css/arena.css HTTP/1.1" 200 OK
INFO:     127.0.0.1:50106 - "GET /css/architecture.css HTTP/1.1" 200 OK
INFO:     127.0.0.1:53261 - "GET /js/rh-app.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:53261 - "GET /js/rh-help.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:50106 - "GET /js/rh-pages/architecture.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:65416 - "GET /js/rh-pages/arena.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:62510 - "GET /js/rh-pages/penny.js HTTP/1.1" 304 Not Modified
INFO:     127.0.0.1:58541 - "GET /js/rh-pages/megamind.js HTTP/1.1" 304 Not Modified
INFO:     127.0.0.1:65086 - "GET /js/rh-api.js HTTP/1.1" 304 Not Modified
INFO:     127.0.0.1:65416 - "GET /js/ui/book-adapter.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:56283 - "GET /api/penny/overview HTTP/1.1" 200 OK
INFO:     127.0.0.1:56283 - "GET /api/stack/overview HTTP/1.1" 200 OK
